# epoch, loss:  152 0.01727767233495359
# epoch, loss:  153 0.015925944472352665
A checkpoint is saved at # epoch!  153
# epoch, loss:  154 0.01644381635856849
# epoch, loss:  155 0.015648326802032965
A checkpoint is saved at # epoch!  155
# epoch, loss:  156 0.016102746818904525
# epoch, loss:  157 0.016119961488854
# epoch, loss:  158 0.015468740801292437
A checkpoint is saved at # epoch!  158
# epoch, loss:  159 0.015888948165984067
# epoch, loss:  160 0.016131540105022765
# epoch, loss:  161 0.014586347569194105
A checkpoint is saved at # epoch!  161
# epoch, loss:  162 0.012962125862638155
A checkpoint is saved at # epoch!  162
# epoch, loss:  163 0.015150117204972991
# epoch, loss:  164 0.015830132523896517
# epoch, loss:  165 0.014802955470427318
# epoch, loss:  166 0.015402007399609795
# epoch, loss:  167 0.01604505204078224
# epoch, loss:  168 0.015055457750956217
# epoch, loss:  169 0.015920215941689634
# epoch, loss:  170 0.014302449266391772
# epoch, loss:  171 0.014898613785152082
# epoch, loss:  172 0.014809445615995813
# epoch, loss:  173 0.013454908091160987
# epoch, loss:  174 0.013912641684766169
# epoch, loss:  175 0.01473042313699369
# epoch, loss:  176 0.013883031421789416
# epoch, loss:  177 0.013875795873226944
# epoch, loss:  178 0.012976416938558773
# epoch, loss:  179 0.014391082718416496
# epoch, loss:  180 0.015498806481008176
# epoch, loss:  181 0.013867743175338816
# epoch, loss:  182 0.014398356899619102
# epoch, loss:  183 0.01344274470789565
# epoch, loss:  184 0.01355265829436205
# epoch, loss:  185 0.013010792623929403
# epoch, loss:  186 0.013632077965195532
# epoch, loss:  187 0.012961443962046394
A checkpoint is saved at # epoch!  187
# epoch, loss:  188 0.013263525441288948
# epoch, loss:  189 0.013716506219848438
# epoch, loss:  190 0.013891842802641568
# epoch, loss:  191 0.013281357992026541
# epoch, loss:  192 0.01359212919379826
# epoch, loss:  193 0.013910299580958154
# epoch, loss:  194 0.013213151738185573
# epoch, loss:  195 0.014191569656961493
# epoch, loss:  196 0.012738244952978912
A checkpoint is saved at # epoch!  196
# epoch, loss:  197 0.012799531393856914
# epoch, loss:  198 0.012749390331683335
# epoch, loss:  199 0.013635764208932718
